   ,COD_CLASSE,DES_NOME_PREFERIDO,COD_CLASSE_PAI,NUM_NIVEL,CYCLE,TREE,PATH,QTD_FILHOS,DES_NIVEL1,DES_NIVEL2,DES_NIVEL3,DES_NIVEL4
1,33254494,Classificação Temática Unificada,,1,0,Classificação Temática Unificada,Classificação Temática Unificada,202,,,,
2,33809814,Temas Exclusivos de Pronunciamentos,33254494,2,0,-- Temas Exclusivos de Pronunciamentos,Classificação Temática Unificada / Temas Exclusivos de Pronunciamentos,22,Temas Exclusivos de Pronunciamentos,,,
3,33809634,Meio Ambiente,33254494,2,0,-- Meio Ambiente,Classificação Temática Unificada / Meio Ambiente,11,Meio Ambiente,,,
4,33809514,"Soberania, Defesa Nacional e Ordem Pública",33254494,2,0,"-- Soberania, Defesa Nacional e Ordem Pública","Classificação Temática Unificada / Soberania, Defesa Nacional e Ordem Pública",7,"Soberania, Defesa Nacional e Ordem Pública",,,
5,33808912,Política Social,33254494,2,0,-- Política Social,Classificação Temática Unificada / Política Social,37,Política Social,,,
6,33805362,Jurídico,33254494,2,0,-- Jurídico,Classificação Temática Unificada / Jurídico,26,Jurídico,,,
7,33805317,Honorífico,33254494,2,0,-- Honorífico,Classificação Temática Unificada / Honorífico,2,Honorífico,,,
8,33805137,Infraestrutura,33254494,2,0,-- Infraestrutura,Classificação Temática Unificada / Infraestrutura,11,Infraestrutura,,,
9,33769167,Economia e Desenvolvimento,33254494,2,0,-- Economia e Desenvolvimento,Classificação Temática Unificada / Economia e Desenvolvimento,29,Economia e Desenvolvimento,,,
10,33768972,Organização do Estado,33254494,2,0,-- Organização do Estado,Classificação Temática Unificada / Organização do Estado,12,Organização do Estado,,,
11,33685789,Administração Pública,33254494,2,0,-- Administração Pública,Classificação Temática Unificada / Administração Pública,20,Administração Pública,,,
12,33260515,Orçamento Público,33254494,2,0,-- Orçamento Público,Classificação Temática Unificada / Orçamento Público,14,Orçamento Público,,,
13,33810304,Assuntos Internacionais,33809814,3,0,---- Assuntos Internacionais,Classificação Temática Unificada / Temas Exclusivos de Pronunciamentos / Assuntos Internacionais,0,Temas Exclusivos de Pronunciamentos,Assuntos Internacionais,,
14,33810289,Investimento Público,33809814,3,0,---- Investimento Público,Classificação Temática Unificada / Temas Exclusivos de Pronunciamentos / Investimento Público,0,Temas Exclusivos de Pronunciamentos,Investimento Público,,
15,33810274,Religião,33809814,3,0,---- Religião,Classificação Temática Unificada / Temas Exclusivos de Pronunciamentos / Religião,0,Temas Exclusivos de Pronunciamentos,Religião,,
16,33810259,Movimento Social,33809814,3,0,---- Movimento Social,Classificação Temática Unificada / Temas Exclusivos de Pronunciamentos / Movimento Social,0,Temas Exclusivos de Pronunciamentos,Movimento Social,,
17,33810244,Imprensa,33809814,3,0,---- Imprensa,Classificação Temática Unificada / Temas Exclusivos de Pronunciamentos / Imprensa,0,Temas Exclusivos de Pronunciamentos,Imprensa,,
18,33810229,Terrorismo,33809814,3,0,---- Terrorismo,Classificação Temática Unificada / Temas Exclusivos de Pronunciamentos / Terrorismo,0,Temas Exclusivos de Pronunciamentos,Terrorismo,,
19,33810214,Conflito Bélico,33809814,3,0,---- Conflito Bélico,Classificação Temática Unificada / Temas Exclusivos de Pronunciamentos / Conflito Bélico,0,Temas Exclusivos de Pronunciamentos,Conflito Bélico,,
20,33810199,Eleições e Partidos Políticos,33809814,3,0,---- Eleições e Partidos Políticos,Classificação Temática Unificada / Temas Exclusivos de Pronunciamentos / Eleições e Partidos Políticos,0,Temas Exclusivos de Pronunciamentos,Eleições e Partidos Políticos,,
21,33810184,"Crime Contra a Administração Pública, Improbidade Administrativa e Crime de Responsabilidade",33809814,3,0,"---- Crime Contra a Administração Pública, Improbidade Administrativa e Crime de Responsabilidade","Classificação Temática Unificada / Temas Exclusivos de Pronunciamentos / Crime Contra a Administração Pública, Improbidade Administrativa e Crime de Responsabilidade",0,Temas Exclusivos de Pronunciamentos,"Crime Contra a Administração Pública, Improbidade Administrativa e Crime de Responsabilidade",,
22,33810068,Constituição,33809814,3,0,---- Constituição,Classificação Temática Unificada / Temas Exclusivos de Pronunciamentos / Constituição,0,Temas Exclusivos de Pronunciamentos,Constituição,,
