   ,COD_PRC_DOC_TEMA,COD_PROCESSO_DOCUMENTO,COD_CLASSE,DES_CLASSE,DES_CLASSE_HIERARQUIA
1,36155183,386343,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
2,36192020,386579,33805287,Rádio e TV,Classificação Temática Unificada / Infraestrutura / Comunicações / Rádio e TV
3,36155185,387419,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
4,36192056,387832,33805287,Rádio e TV,Classificação Temática Unificada / Infraestrutura / Comunicações / Rádio e TV
5,36155187,388197,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
6,36155188,388222,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
7,36155189,388347,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
8,36155191,388738,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
9,36158185,388918,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
10,36158179,388010,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
11,36158180,388457,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
12,36158182,388728,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
13,36158186,388968,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
14,36158193,389401,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
15,36146886,391488,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
16,36158652,390806,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
17,36158656,391126,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
18,36158661,391403,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
19,36146875,391073,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
20,36146883,391342,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
21,36146885,391382,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
22,36158325,391263,33805332,Data Comemorativa,Classificação Temática Unificada / Honorífico / Data Comemorativa
23,36146891,391758,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
24,36146887,391599,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
25,36146888,391655,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
26,36146889,391675,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
27,36158668,391762,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
28,36146892,391777,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
29,36158669,391813,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
30,36146895,391880,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
31,36146897,391925,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
32,36158674,391930,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
33,36146899,391995,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
34,36146901,392010,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
35,36146902,392025,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
36,36146907,392111,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
37,36146913,392295,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
38,36158695,392712,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
39,36158696,392759,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
40,36192000,393886,33805287,Rádio e TV,Classificação Temática Unificada / Infraestrutura / Comunicações / Rádio e TV
41,36146980,394936,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
42,36158706,393474,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
43,36158731,393885,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
44,36146973,394705,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
45,36146977,394847,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
46,36146978,394903,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
47,36146981,394957,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
