   ,COD_PRC_DOC_TEMA,COD_PROCESSO_DOCUMENTO,COD_CLASSE,DES_CLASSE,DES_CLASSE_HIERARQUIA
1,36156374,540837,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
2,36158248,540987,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
3,36158249,540998,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
4,36156375,541008,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
5,36156376,541015,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
6,36158250,541048,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
7,36156377,541082,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
8,36156378,541097,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
9,36156379,541116,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
10,36156380,541144,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
11,36156381,541145,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
12,36156382,541147,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
13,36156383,541156,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
14,36156384,541163,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
15,36156385,541170,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
16,36156386,541184,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
17,36156387,541213,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
18,36156388,541224,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
19,36156389,541236,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
20,36156390,541239,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
21,36156391,541284,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
22,36156392,541288,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
23,36156393,541290,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
24,36156394,541296,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
25,36158251,541350,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
26,36158252,541479,33805842,Crédito Extraordinário,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Extraordinário
27,36156397,541490,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
28,36156398,541547,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
29,36156399,541554,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
30,36156400,541683,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
31,36156401,541699,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
32,36156402,541779,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
33,36156407,541846,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
34,36158355,541095,33805332,Data Comemorativa,Classificação Temática Unificada / Honorífico / Data Comemorativa
35,36158307,541310,33805332,Data Comemorativa,Classificação Temática Unificada / Honorífico / Data Comemorativa
36,36158308,541557,33805332,Data Comemorativa,Classificação Temática Unificada / Honorífico / Data Comemorativa
37,36156403,541810,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
38,36156404,541812,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
39,36156405,541832,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
40,36156406,541844,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
41,36156408,541852,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
42,36156409,541855,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
43,36156410,541857,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
44,36156411,541867,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
45,36156412,541890,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
46,36156413,541902,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
47,36156414,541907,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
48,36156415,541917,33805827,Crédito Suplementar,Classificação Temática Unificada / Orçamento Público / Crédito Adicional / Crédito Suplementar
