   ,COD_DOCUMENTO,DES_NOME_PREFERIDO,DES_NOMES_ALTERNATIVOS,DBMS_LOB.SUBSTR(S01.TXT_EMENTA
1,542244,Lei nº 689 de 20/09/1900,LEI-689-1900-09-20,Autoriza o Governo a recolher em conta corrente ao Banco da Republica até a somma de 1.000000 esterlino e dá outras providencias
2,542305,Lei nº 741 de 26/12/1900,LEI-741-1900-12-26,"Orça a receita geral da Republica dos Estados Unidos do Brasil para o exercicio de 1901, e dá outras providencias."
3,542241,Lei nº 687 de 14/09/1900,LEI-687-1900-09-14,Fixa as Forças de terra para o exercicio de 1901
4,542412,Lei nº 834 de 30/12/1901,LEI-834-1901-12-30,"Fixa a despeza geral da Republica dos Estados Unidos do Brazil para o   exercicio de 1902, e dá outras providencias."
5,542387,Lei nº 813 de 23/12/1901,LEI-813-1901-12-23,"Fixa a receita geral da Republica dos Estados Unidos do Brazil para o exercicio de 1902, e dá outras providencias."
6,542439,Lei nº 859 de 16/08/1902,LEI-859-1902-08-16,Reforma a lei sobre fallencias
7,542965,Lei nº 1.316 de 31/12/1904,"LEI-1316-1904-12-31 , Lei Orçamentária - Despesas (1905)","Fixa a despeza geral da Republica dos Estados Unidos do Brazil para o exercicio de 1905, e dá outras providencias."
8,542852,Lei nº 1.220 de 24/08/1904,LEI-1220-1904-08-24,Fixa as forças de terra para o exercicio de 1905.
9,542229,Lei nº 678 de 21/08/1900,LEI-678-1900-08-21,Fixa a Força Naval para o anno de 1901
10,542295,Lei nº 732 de 20/12/1900,LEI-732-1900-12-20,Reorganisa o quadro dos officiaes da Armada e dá outras providencias
11,542311,Lei nº 746 de 29/12/1900,LEI-746-1900-12-29,"Fixa a despeza geral da Republica dos Estados Unidos do Brazil para o exercicio de 1901, e dá outras providencias."
12,542337,Lei nº 768 de 20/06/1901,LEI-768-1901-06-20,"Suspende temporariamente o decreto n. 164, de 17 de janeiro de 1890, na parte relativa ás liquidações forçadas para os bancos nacionaes, com séde na Capital do Estado da Bahia"
13,542366,Lei nº 795 de 16/10/1901,LEI-795-1901-10-16,Fixa a Força naval para o anno de 1902
14,542368,Lei nº 796 de 25/10/1901,LEI-796-1901-10-25,Fixa as Forças de terra para o exercicio de 1902
15,542485,Lei nº 900 de 07/11/1902,LEI-900-1902-11-07,Fixa as forças de terra para o exercicio de 1903
16,542547,Lei nº 953 de 29/12/1902,LEI-953-1902-12-29,"Orça a receita geral da Republica dos Estados Unidos do Brazil para o exercicio de 1903, e dá outras providencias"
17,542516,Lei nº 927 de 22/12/1902,LEI-927-1902-12-22,Fixa a força naval para o anno de 1903
18,542552,Lei nº 957 de 30/12/1902,LEI-957-1902-12-30,"Fica a despeza geral da Republica dos Estados Unidos do Brazil para o   exercicio de 1903, e dá outras providencias"
19,542540,Lei nº 947 de 29/12/1902,LEI-947-1902-12-29,Reforma o serviço policial no Districto Federal
20,542531,Lei nº 939 de 29/12/1902,LEI-939-1902-12-29,Reorganisa o Districto Federal e dá outras providencias
21,542764,Lei nº 1.145 de 31/12/1903,LEI-1145-1903-12-31,"Fixa a despeza geral da Republica dos Estados Unidos do Brazil para o exercicio de 1904, e dá outras providencias."
22,542571,Lei nº 973 de 02/01/1903,LEI-973-1903-01-02,"Crea o officio privativo e vitalicio do registro facultativo de titulos,   documentos e outros papeis, para authenticidade, conservação e perpetuidade dos   mesmos, como para os effeitos do art. 3º da lei n. 79, de 23 de agosto de 1892,   e dá outras providencias"
23,542762,Lei nº 1.144 de 30/12/1903,LEI-1144-1903-12-30,"Orça a receita geral da Republica dos Estados Unidos do Brazil para o exercicio de 1904, e dá outras providencias."
24,542631,Lei nº 1.030 de 02/09/1903,LEI-1030-1903-09-02,Fixa as forças de terra para o exercicio de 1904
25,542712,Lei nº 1.101 de 19/11/1903,LEI-1101-1903-11-19,Modifica a lei organica do Districto Federal e autoriza o Prefeito a   realizar um emprestimo para saneamento a embellezamento da Capital Federal
26,542821,Lei nº 1.195 de 06/07/1904,LEI-1195-1904-07-06,Fixa a força naval para o anno de 1905
27,542990,Lei nº 1.338 de 09/01/1905,LEI-1338-1905-01-09,Reorganiza a justiça local do Districto Federal
